station_source_id,charger_source_id,station_name,address,charge_type,status_name,operator_name
5617,,(전주거치형)신선천주거지1,부산광역시 해운대구 반여동 산 130-11,,,
5624,,(전주거치형)신선천주거지2,부산광역시 해운대구 반여동 1575-5,,,
5891,,(전주거치형)안락4휴먼시아 아파트,부산 동래구 안락동 459-5,,,
5714,,(전주거치형)약수초교 앞,울산광역시 북구 중산동 1178-36,,,
5678,,(전주거치형)원동로 2035,경상남도 양산시 원동면 내포리 1135-2,,,
5616,,(전주거치형)장산로주거지1,부산광역시 해운대구 우동 1102-223,,,
5615,,(전주거치형)장산로주거지2,부산광역시 해운대구 우동 1102-223,,,
5796,,(전주거치형)장수동 136 노상공영주차장,인천광역시 남동구 장수동 136-3,,,
5619,,(전주거치형)전포동주거지,부산광역시 부산진구 전포동 190,,,
5944,,(전주거치형)중앙동 객화차담 밑,부산광역시 중구 중앙동4가 90-1,,,
5889,,(전주거치형)치매안심센터,경상남도 양산시 다방동 506-3,,,
5884,,(전주거치형)호계교회앞,울산광역시 북구 신천동 344-6,,,
3075,1,(전주거치형)화신칼라,부산광역시 동구 범일동 830-72,완속,이용가능,한국전력공사
5459,,(주)케이에이치씨,전라남도 강진군 성전면 송학리 839,,,
3641,,(춘천거두)초록지붕아파트,강원특별자치도 춘천시 동내면 거두리 936,,,
3867,,(편의제공형)남내동공영주차장,전라남도 나주시 남내동 67,,,
4082,,(편의제공형)인천광역시청,인천광역시 남동구 구월동 1138,,,
2524,1,2생활권 환승주차장1(A),세종특별자치시 나성동 719,급속,이용가능,한국전력공사
2525,,2생활권 환승주차장2(B),세종특별자치시 나성동 778,,,
3810,,2호선 양산역,경상남도 양산시 중부동 721,,,
2799,1,3차벽산아파트,경기도 시흥시 은행동 547-1,급속,이용제한,한국전력공사
231,,3호선 칠곡차량기지,대구광역시 북구 동호동 109,,,
5802,,4.3평화교육센터,제주특별자치도 제주시 봉개동 237-2,,,
4489,,CGV 신대점,전라남도 순천시 해룡면 신대리 2139,,,
808,,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,,,
3601,1,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,완속,이용제한,한국전력공사
809,,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,,,
6736,,DMZ 박물관,강원특별자치도 고성군 현내면 송현리 212,,,
871,,EG스위트밸리3차 아파트,광주광역시 광산구 소촌동 232-6,,,
9318,,EVC충전소_농촌진흥청,전북특별자치도 익산시 송학동 381,,,
5486,,F1경기장 충전소,전라남도 영암군 삼호읍 삼포리 1904,,,
2553,,G-Tower(경제자유구역청),인천광역시 연수구 송도동 24-4,,,
4948,,GIST 기계공학동,광주광역시 북구 오룡동 1,,,
4949,,GIST 대학B동,광주광역시 북구 오룡동 1,,,
4947,,GIST 중앙연구기기센터,광주광역시 북구 오룡동 1,,,
1799,,GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),,,
2440,,HAPPY700 평창시네마,강원특별자치도 평창군 용평면 장평리 374-2,,,
3777,,HC홈센타홀딩스 주차장,대구광역시 북구 노원동3가 34-11,,,
3409,,KBS 방송국,충청북도 청주시 서원구 성화동 456,,,
3825,,KBS전주총국,전북특별자치도 전주시 완산구 효자동3가 1629,,,
486,1,KOMIPO행복마루,충청남도 보령시 동대동 347-6,급속,이용제한,한국전력공사
486,2,KOMIPO행복마루,충청남도 보령시 동대동 347-6,완속,이용제한,한국전력공사
759,,LG신산본자이2차,경기도 군포시 당정동 973-1,,,
814,1,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15,급속,이용제한,한국전력공사
814,2,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15,완속,이용제한,한국전력공사
1821,,LH 리더스 하임 아파트,경기도 평택시 비전동 1011,,,
2357,3,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,완속,이용제한,한국전력공사
399,,LH강원본부,강원특별자치도 춘천시 효자동 692-10,,,
3045,1,LH경기지사,경기도 성남시 분당구 구미동 175,급속,이용가능,한국전력공사
380,,LH경남본부,경상남도 창원시 성산구 용호동 4-2,,,
1752,,LH그린품애,경상남도 창원시 마산합포구 현동 620,,,
402,1,LH대구경북본부,대구광역시 달서구 상화로 272,급속,이용가능,한국전력공사
2755,,LH미사강변17,경기도 하남시 망월동 1044,,,
337,1,LH서울지사,서울특별시 강남구 선릉로 121길 12,급속,이용가능,한국전력공사
3151,1,LH서초4단지 아파트,서울특별시 서초구 우면동 788,완속,이용제한,한국전력공사
728,,LH서초5단지,서울특별시 서초구 우면동 368-1,,,
3638,,LH선수촌8단지아파트,강원특별자치도 강릉시 유천동 778,,,
973,,LH수원센트럴타운1단지,경기도 수원시 권선구 세류동 1260,,,
1478,1,LH쌍용예가 아파트,충청북도 음성군 맹동면 사예로 20,급속,이용제한,한국전력공사
1478,2,LH쌍용예가 아파트,충청북도 음성군 맹동면 사예로 20,완속,이용제한,한국전력공사
2680,,LH이노팰리스아파트,전북특별자치도 전주시 덕진구 장동 1082,,,
261,,LH인천본부,인천광역시 남동구 논현동 639-1,,,
1143,,LH자은프라임,경상남도 창원시 진해구 자은동 121,,,
400,,LH전북본부,"전북특별자치도 전주시 완산구 홍산로 158 (효자동2가, 한국토지주택공사 전북본부)",,,
403,,LH제주본부,제주특별자치도 제주시 삼도1동 305-4,,,
1027,,LH퍼스트리움 아파트,경기도 시흥시 조남동 640-2,,,
4288,,LH해온채아파트,강원특별자치도 춘천시 동면 장학리 988,,,
2874,,LH호평1단지,경기도 남양주시 호평동 458-9,,,
3005,1,LIG서울역리가아파트,서울특별시 중구 만리동1가 231,완속,이용제한,한국전력공사
5469,,LX국토정보공사 고흥지사,전라남도 고흥군 고흥읍 남계리 404-2,,,
4018,,MS카오디오,대구광역시 동구 용계동 942-3,,,
1594,1,SD아이프라임강북,대구광역시 북구 읍내동 칠곡중앙대로125길 7,급속,이용제한,한국전력공사
1594,2,SD아이프라임강북,대구광역시 북구 읍내동 칠곡중앙대로125길 7,완속,이용제한,한국전력공사
4958,,SG마트 충전소,강원특별자치도 횡성군 횡성읍 교항리 31-1,,,
5167,,SK렌터카 본사,서울특별시 종로구 관철동 7-3,,,
5014,,SK렌터카 제주지점,제주특별자치도 제주시 용담이동 723,,,
1077,,SK허브,대전광역시 유성구 지족동 894-5,,,
4133,1,e-편한세상 영종하늘도시,인천광역시 중구 운남동 1680-2,완속,이용제한,한국전력공사
3330,1,e편한세상 구미파크밸리,경상북도 구미시 신비로7길 10,급속,이용제한,한국전력공사
3330,2,e편한세상 구미파크밸리,경상북도 구미시 신비로7길 10,완속,이용가능,휴맥스이브이
3337,,e편한세상 금호파크힐스,서울특별시 성동구 금호동1가 1823,,,
1111,,e편한세상 세계육상선수촌2단지,"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지)",,,
547,1,e편한세상광교,경기도 수원시 영통구 이의동 센트럴타운로 76,급속,이용제한,한국전력공사
547,3,e편한세상광교,경기도 수원시 영통구 이의동 센트럴타운로 76,완속,이용제한,한국전력공사
1333,,e편한세상광주역3단지,경기도 광주시 역동 245,,,
890,,e편한세상남양산2차,경상남도 양산시 동면 석산리 1450-1,,,
1003,1,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24,급속,이용제한,한국전력공사
1003,2,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24,완속,이용제한,한국전력공사
1666,,e편한세상범어,"대구광역시 수성구 들안로78길 45 (범어동, 이편한세상범어)",,,
3255,1,e편한세상보령아파트,충청남도 보령시 동대동 한내로터리길 170,급속,이용제한,한국전력공사
3300,,e편한세상삼척교동아파트,강원특별자치도 삼척시 교동 793,,,
749,,e편한세상센트레빌 1단지,경기도 광명시 하안동 864,,,
750,,e편한세상센트레빌 3단지,경기도 광명시 하안동 864,,,
751,,e편한세상센트레빌2단지,경기도 광명시 하안동 864,,,
3607,1,e편한세상염창,서울특별시 강서구 염창동 309,완속,이용제한,한국전력공사
465,1,e편한세상황성,경상북도 경주시 황성동 1170,급속,이용제한,한국전력공사
465,2,e편한세상황성,경상북도 경주시 황성동 1170,완속,이용제한,한국전력공사
3010,,lh옥포천년나무2단지,대구광역시 달성군 옥포읍 돌미로 51,,,
5296,,sk셀프남동공단주유소,인천광역시 남동구 논현동 444,,,
2128,1,㈜농협대전유통,대전광역시 중구 대둔산로 199번길 43,급속,이용가능,한국전력공사
4128,1,가경벽산아파트,충청북도 청주시 흥덕구 가경동 762,완속,이용제한,한국전력공사
512,,가경한라비발디 아파트,충청북도 청주시 흥덕구 가경동 1761,,,
1466,,가경호반베르디움,충청북도 청주시 흥덕구 가경동 1759,,,
4973,,가교2리마을회관,충청남도 당진시 송악읍 가교리 352,,,
4884,,가구거리 공영주차장,부산광역시 동구 범일동 183,,,
4719,,가남읍공영주차장,경기도 여주시 가남읍 심석리 417-6,,,
390,1,가납공영주차장,경기도 양주시 광적면 삼일로 20,급속,이용가능,한국전력공사
907,,가능 SK-VIEW 아파트,경기도 의정부시 가능동 656-1,,,
3744,,가능1동 5공영주차장,경기도 의정부시 가능동 362-3,,,
4909,,가능1동 제4공영주차장,경기도 의정부시 가능동 302-16,,,
5279,,가능동제3공영주차장,경기도 의정부시 가능동 678,,,
3322,,가능신도1차아파트,경기도 의정부시 가능동 568-1,,,
4924,,가덕도동 행정복지센터,부산광역시 강서구 성북동 229-1,,,
3261,,가락2동 주민센터,서울특별시 송파구 가락동 154,,,
855,,가락마을10단지,세종특별자치시 고운동 1400,,,
856,,가락마을11단지,세종특별자치시 고운동 1409,,,
1900,,가락마을17단지,세종특별자치시 고운동 1386,,,
2780,,가락마을20단지 호반베르디움아파트,세종특별자치시 고운동 1396,,,
2400,,가락마을21단지,세종특별자치시 고운동 1390,,,
857,,가락마을22,세종특별자치시 고운동 1387,,,
2695,1,가락마을3단지아파트,세종특별자치시 고운동 1708,급속,이용제한,한국전력공사
2695,2,가락마을3단지아파트,세종특별자치시 고운동 1708,완속,이용제한,한국전력공사
2846,1,가락마을4단지,세종특별자치시 고운동 1703,급속,이용제한,한국전력공사
2846,2,가락마을4단지,세종특별자치시 고운동 1703,완속,이용제한,한국전력공사
1509,,가락마을9단지 아파트,세종특별자치시 고운동 1408,,,
222,21,가락시장,서울특별시 송파구 양재대로 932,급속,이용가능,환경부
687,1,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,급속,이용제한,한국전력공사
